name,roll,branch,start_year,current_courses,previous_courses_with_grades
Ishaan Nair,ECE2022-770,ECE,2022,OOPS;302;201;OOPS;NLP,101|5.3;SE|5.6;502|8.0;DSA|6.3;201|7.0;401|9.0;101|7.7;SE|5.9
Krishna Kumar,200771,Maths,2022,CN;102;SE;102,401|5.4;SE|6.6;NLP|9.4;101|8.0;202|7.2
Aarav Kapoor,200772,Maths,2022,NLP;ML;102,OOPS|9.7;CNTR|8.4;401|9.5;AI|9.5;NLP|6.2;CN|9.6;DBMS|6.2;NLP|6.2
Ananya Agarwal,ECE2023-773,Physics,2022,OS;101;DSA;ML,101|8.3;201|8.5;CNTR|8.2;OS|9.2;302|6.6
Aarav Verma,200774,CE,2019,OS;102;302;CN;AI;DSA,101|9.5;502|5.5;DBMS|9.7;OS|8.5;DSA|7.0;102|7.4;AI|8.6;402|6.6
Ishaan Chowdhury,200775,EE,2023,CNTR;102;401;SE;101,401|6.5;501|5.9;OS|9.9;OS|8.7;DBMS|6.5;OOPS|6.4;501|6.7;502|6.5;CNTR|5.5
Ananya Verma,200776,ME,2022,302;202;401;CN;102;501,502|8.4;ML|7.8;AI|8.8;CNTR|9.1;202|6.5;501|5.6;NLP|7.4;102|7.3
Rohan Gupta,200777,ME,2021,401;301;OS,OS|5.1;402|7.5;CNTR|9.8;502|5.0;401|7.8;DSA|8.6;SE|8.4
Yash Kapoor,ECE2023-778,ME,2021,DBMS;CN;OOPS;ML,SE|6.6;101|6.4;DBMS|8.2;401|6.9;DSA|9.3;CNTR|9.0;201|9.2;102|5.6;302|7.4
Aditya Reddy,200779,BT,2022,402;OS;DSA;DBMS;AI,202|9.6;DSA|8.1;301|5.9;NLP|5.4;201|7.2;OOPS|6.2
Neha Kapoor,BT2019-780,EE,2023,202;DBMS;OS;201;CN,OS|8.4;202|5.6;OS|6.6;201|7.3;301|9.7;102|6.9;101|7.2;DBMS|5.3;401|5.8
Vivaan Kapoor,200781,Maths,2021,AI;AI;301;ML;501,202|5.3;ML|5.2;DBMS|8.3;AI|6.6;DBMS|9.4;OOPS|8.5;301|9.5;301|6.7;201|7.2;302|5.1
Sakshi Gupta,200782,Physics,2019,101;SE;502,NLP|8.0;501|9.8;102|8.0;302|7.7;DSA|7.7;SE|7.3;302|8.5;501|5.8
Vivaan Mehta,200783,Maths,2021,402;DBMS;AI;301;DSA;CN,102|7.2;401|8.6;OS|6.6;202|5.9;AI|9.5;CN|6.0;401|6.9;DBMS|8.7;402|9.6
Aditya Patel,200784,EE,2021,201;202;302,DBMS|9.7;101|5.8;302|7.9;SE|5.0;501|6.2
Ananya Malhotra,200785,ECE,2019,CNTR;OOPS;201;OOPS,401|8.9;CNTR|9.0;NLP|8.3;NLP|6.6;101|5.6;201|9.7
Sai Gupta,200786,BT,2021,NLP;102;302;101;CNTR;501,201|6.0;SE|8.0;OS|9.2;OS|8.7;NLP|6.2;DBMS|8.3;301|7.0;CN|6.5;101|7.7;SE|6.0
Ananya Desai,200787,Maths,2021,502;301;501;301;101;CNTR,CNTR|9.8;501|7.5;CN|9.9;402|5.2;NLP|5.2;OOPS|9.8;302|9.1
Ananya Kapoor,200788,CE,2023,502;OS;301;202;OS;402,OS|8.6;102|8.6;DBMS|9.9;101|8.3;CNTR|6.1;502|6.6;201|5.4;AI|7.6
Vivaan Nair,CE2019-789,BT,2019,ML;DSA;CNTR;301;CN,402|6.8;OOPS|9.1;402|9.3;DSA|9.6;301|8.6;101|8.7;OOPS|5.2;201|7.6
Aarav Singh,ME2023-790,BT,2019,CNTR;CN;OOPS,AI|5.2;AI|7.3;CN|7.5;DBMS|6.0;201|6.4;DSA|7.1;CN|8.8;SE|6.0;DBMS|9.4;402|5.6
Vihaan Gupta,EE2021-791,BT,2020,OOPS;OOPS;DBMS;501;SE;301,401|5.5;401|9.1;302|5.8;501|5.4;OOPS|5.0;201|7.6;OS|5.7;DBMS|5.8;301|5.5;201|7.9
Priya Nair,Maths2023-792,CE,2022,OS;402;201;DSA,ML|9.4;102|9.1;OOPS|5.1;502|7.1;202|10.0
Ritika Sharma,BT2021-793,CE,2023,DBMS;502;CNTR;401;CN;CNTR,CN|10.0;202|5.8;201|7.4;SE|6.1;501|7.1
Krishna Kapoor,CE2022-794,ME,2021,NLP;202;102;402;DBMS;DSA,OS|8.6;OOPS|7.5;501|5.8;AI|8.8;OS|7.7
Vivaan Nair,Maths2020-795,Maths,2020,NLP;102;302;OOPS;302,OOPS|7.0;501|9.3;OOPS|8.6;302|7.4;501|9.6;301|5.1;101|8.1
Ritika Gupta,BT2021-796,Maths,2021,502;OOPS;501,AI|9.2;DBMS|5.2;SE|5.5;301|9.9;NLP|5.5
Priya Malhotra,200797,Physics,2020,SE;DSA;402;CN,CNTR|9.7;301|6.7;401|5.6;402|9.4;DBMS|7.0;201|8.9;202|8.3;101|5.9
Yash Kumar,EE2022-798,BT,2019,DBMS;CN;101;DBMS,SE|8.9;301|5.7;AI|7.4;502|9.2;402|8.8;101|7.0;202|6.9
Krishna Bose,EE2021-799,BT,2020,CNTR;202;ML;CN;DSA,SE|6.3;OS|9.1;OOPS|7.7;NLP|8.5;501|9.3;SE|6.5;302|9.3;101|7.9
Diya Iyer,200800,CE,2021,301;CNTR;401;DBMS,NLP|9.4;NLP|8.6;301|5.1;OOPS|7.4;501|6.5
Aditi Kumar,200801,Maths,2020,501;CNTR;ML;502,401|9.2;ML|5.4;501|8.6;201|5.3;ML|7.7;502|5.6;502|9.9;102|9.4;ML|7.1;DSA|8.0
Ananya Saxena,200802,Maths,2021,402;502;NLP;OS;202,202|6.8;OOPS|7.2;102|6.1;OS|7.7;101|6.0;302|5.3;502|5.6;501|8.3
Ananya Bose,200803,EE,2020,DBMS;201;502;DBMS,301|8.9;502|8.4;101|7.3;CN|6.4;NLP|5.5;202|7.4
Vivaan Kumar,200804,Maths,2022,402;501;201;AI;202;301,CN|5.5;201|10.0;CN|8.0;502|6.8;101|5.0;201|8.4
Aditya Khan,200805,Maths,2022,ML;AI;CNTR;AI;301;401,501|5.8;501|6.1;OOPS|6.5;OS|8.8;101|8.0;102|7.3;101|6.7;502|9.3;501|9.0
Isha Malhotra,200806,BT,2022,CNTR;102;OOPS,OS|8.4;501|7.9;NLP|6.1;ML|8.3;402|5.6;SE|5.9;502|7.4;102|6.4;502|8.2
Isha Mehta,200807,CSE,2019,402;OS;102,402|6.6;OS|8.9;302|6.1;CNTR|6.8;CNTR|9.8;401|5.7;302|10.0;402|5.2
Ritika Mehta,200808,EE,2023,AI;CN;DSA;401,401|5.4;NLP|5.4;OOPS|5.4;201|6.2;DBMS|9.7;301|7.5;301|5.0;302|5.6
Aarav Bose,200809,ECE,2023,101;201;DBMS;DSA;202,201|5.6;101|7.1;101|5.7;302|9.4;NLP|6.7;AI|8.8;401|7.7;301|7.9
Tanvi Patel,CSE2022-810,ME,2020,CN;501;502,CN|8.3;401|8.9;DBMS|5.5;ML|5.6;301|6.8;DSA|5.7
Ritika Chowdhury,200811,CSE,2023,301;DBMS;SE;DBMS,OS|8.8;ML|9.5;OOPS|5.9;101|6.5;102|7.7;501|6.6;201|6.1
Krishna Kumar,200812,CE,2023,DSA;101;301,402|5.8;402|6.6;502|5.9;DSA|7.9;CNTR|9.2;NLP|5.7;NLP|7.3;302|9.6
Yash Gupta,CSE2020-813,EE,2021,202;301;SE;502;202;CN,302|6.7;202|7.9;NLP|5.2;AI|7.7;202|7.7;OOPS|7.4;302|6.3;201|6.1;NLP|5.8
Aarav Nair,ME2021-814,CE,2019,401;201;501;201;CNTR,NLP|9.0;ML|5.9;201|5.5;CNTR|7.1;OS|9.0;502|9.3;302|6.7
Arjun Saxena,200815,Physics,2021,201;502;CNTR;DBMS;NLP;102,302|7.7;NLP|6.3;NLP|7.3;401|9.9;OOPS|5.3;OS|8.8;CN|9.0;OS|6.5;OOPS|7.5
Diya Nair,200816,Physics,2021,DSA;202;402;101,CN|9.4;SE|8.6;CNTR|6.9;401|9.0;CN|9.8;DBMS|5.6;ML|9.8
Aditya Malhotra,200817,ME,2020,CN;DSA;OS;CNTR;401;OS,AI|7.4;401|5.3;502|7.5;AI|9.2;501|9.0
Priya Rao,200818,ME,2021,501;401;301;101;201,NLP|7.2;SE|9.8;CNTR|6.4;502|6.6;502|8.2;CN|5.1;SE|6.2;NLP|5.9;OOPS|6.6;OS|5.8
Yash Rao,200819,CSE,2021,102;102;202;OS,501|5.9;202|6.8;DSA|6.4;301|7.0;101|9.4;101|10.0;502|7.2;ML|9.6;101|8.1
Aditi Nair,200820,Physics,2020,301;OOPS;302,SE|5.1;501|9.9;OOPS|7.8;202|6.4;CNTR|7.8;DBMS|7.9;302|6.3;CN|5.4;AI|7.5;201|7.1
Kavya Nair,Maths2023-821,CSE,2020,ML;CNTR;102;OS,SE|7.4;101|5.2;NLP|6.6;201|5.3;SE|7.2;302|9.5
Ananya Nair,200822,CSE,2021,201;ML;AI;DSA,CNTR|8.4;OS|5.6;ML|5.3;202|5.3;NLP|9.6
Sai Kapoor,200823,BT,2022,CNTR;CNTR;102;CN;OOPS,201|6.0;202|9.7;AI|7.3;ML|6.0;SE|10.0;102|7.2
Diya Kumar,200824,CSE,2019,OS;502;CNTR;201,SE|9.9;OS|8.5;AI|6.6;OS|7.5;ML|8.9;CN|9.7;502|6.5;ML|9.5
Aditi Verma,200825,Maths,2021,SE;502;402;OS;NLP;401,202|6.4;ML|9.9;401|10.0;OS|8.7;101|7.3
Arjun Patel,ME2020-826,Maths,2022,AI;AI;101;DBMS,502|6.8;501|7.1;OS|7.9;AI|6.8;AI|8.9;101|5.1;CNTR|5.8;302|6.0
Aditi Kumar,200827,Physics,2022,501;201;402,501|7.1;402|5.7;302|6.6;ML|6.4;102|9.1
Tanvi Malhotra,CSE2020-828,ME,2019,102;OS;401;CNTR,301|9.0;102|5.2;501|8.3;CNTR|8.9;OS|6.6;201|8.3;502|7.0;SE|9.1;401|9.5
Sai Agarwal,Maths2021-829,Physics,2023,OS;402;401;DSA;502,302|7.9;202|6.1;SE|6.1;AI|8.7;401|6.0;201|8.5;101|7.4;DBMS|6.1;OS|7.0;SE|9.1
Aditi Iyer,200830,Physics,2023,201;OOPS;402;CN;402;OOPS,DSA|8.9;OS|6.5;SE|9.2;202|9.5;NLP|5.8;CNTR|7.1;OS|6.2
Isha Desai,ECE2022-831,Physics,2023,301;CNTR;SE;302;OOPS;302,ML|5.9;SE|5.8;OS|8.1;401|7.0;501|8.7;CN|7.2;DSA|5.8;501|6.7;302|6.2;302|8.9
Ishaan Malhotra,200832,Physics,2020,301;502;OS;CN;502;501,101|8.0;301|8.5;102|5.4;402|5.5;102|8.7;302|9.5;402|8.5;SE|7.9
Rohan Gupta,200833,Maths,2019,OOPS;502;201,501|7.6;OS|9.6;401|7.9;CNTR|6.3;CN|6.4;NLP|5.4;CN|9.6
Krishna Kumar,200834,CE,2021,502;402;401;401;CN,201|9.1;102|5.9;ML|5.3;101|9.5;AI|5.5;OOPS|5.4;401|5.9
Krishna Iyer,200835,Maths,2020,NLP;CN;501;302,101|7.4;401|6.5;ML|5.6;302|8.1;NLP|8.5;401|9.8;OS|7.3;302|8.7;301|5.5;301|6.2
Rohan Verma,200836,ECE,2019,102;CN;102,101|6.5;SE|9.5;OOPS|8.8;302|9.9;202|6.1;SE|7.7
Sai Saxena,200837,BT,2022,502;102;501;CN;SE;302,OS|5.1;202|7.5;DBMS|5.9;OOPS|6.2;CNTR|7.3;CN|9.5;301|7.9;OS|8.2;NLP|7.2;OOPS|5.4
Aditi Kapoor,200838,CSE,2021,CN;301;302,201|9.5;CNTR|9.5;ML|8.5;DSA|5.5;OOPS|7.7;401|7.0;502|7.0;NLP|9.7;OS|8.4;401|6.8
Arjun Patel,200839,Physics,2021,DSA;ML;201,401|8.7;302|5.4;101|5.5;401|7.9;101|9.6;OS|8.7;502|5.8;OOPS|7.5;201|5.8
Priya Patel,ME2023-840,CSE,2023,CNTR;OOPS;CNTR;OS,DSA|5.6;501|6.5;501|7.2;ML|9.4;102|6.7;OOPS|7.5;DSA|5.6;201|6.3;301|6.3
Ishaan Desai,EE2020-841,Maths,2020,301;DBMS;102;AI;OS,302|7.2;202|5.2;OS|6.4;DBMS|7.6;OOPS|7.9
Arjun Malhotra,200842,BT,2020,201;301;DSA;ML;DSA;201,501|7.6;CN|8.3;401|6.4;301|6.2;301|6.1;SE|8.8;AI|7.6;201|8.0;OOPS|9.9
Priya Patel,200843,Maths,2022,101;OOPS;CN;401,DBMS|8.5;502|5.2;OOPS|5.3;OS|7.5;102|9.2;DBMS|6.8;502|9.2;501|5.8;301|6.7
Krishna Sharma,200844,Physics,2019,202;OS;401,301|6.9;102|8.5;102|7.6;302|8.7;SE|9.6;302|8.4;AI|9.5
Sai Saxena,200845,ECE,2021,AI;501;302,101|7.8;202|8.2;SE|8.0;402|9.5;NLP|7.7
Rohan Iyer,CE2022-846,Physics,2020,501;OS;202;201;CN,501|7.8;AI|7.2;102|5.6;301|6.4;CNTR|7.3;201|7.6;302|8.6
Tanvi Patel,200847,CSE,2022,101;201;DBMS;CNTR;102;202,302|9.6;OS|5.7;DBMS|9.5;AI|5.5;402|7.7;AI|6.4
Ishaan Jain,CE2020-848,BT,2020,CN;501;102;OOPS;SE;401,SE|6.3;CNTR|5.9;402|6.2;NLP|6.0;102|9.6;DBMS|5.6;302|5.7;401|7.6;201|8.5;101|5.4
Sai Reddy,ME2021-849,Physics,2021,401;402;502,201|6.9;OOPS|6.6;SE|9.4;501|5.5;101|5.8
Aarav Desai,200850,BT,2019,401;AI;SE;502;201,OOPS|9.6;NLP|7.5;DBMS|8.9;CN|8.3;201|6.0
Rohan Iyer,200851,ECE,2020,102;102;ML;DSA;101;501,CN|6.9;302|9.7;OS|9.3;NLP|6.0;201|7.3
Neha Patel,CE2021-852,EE,2021,DSA;501;OOPS,DBMS|6.0;OOPS|6.0;102|6.7;DBMS|5.8;OOPS|9.8;ML|7.7;DSA|8.0;102|8.5;DSA|9.4
Aditya Sharma,ME2023-853,CSE,2020,102;302;101;CNTR;CNTR,CNTR|8.0;102|7.3;402|7.9;502|8.3;NLP|6.1;301|10.0
Arjun Reddy,CSE2019-854,Maths,2020,DSA;AI;501;502,CNTR|5.4;ML|6.8;DSA|7.7;102|5.7;402|8.2;401|5.5;501|7.9;201|5.5;102|8.1;DBMS|5.8
Vivaan Mehta,BT2022-855,ECE,2022,CN;DSA;201;102,OOPS|6.4;OOPS|5.4;402|8.3;SE|6.8;OS|5.6;102|6.0
Ananya Rao,EE2019-856,Maths,2020,401;AI;ML,301|8.1;CN|7.6;201|5.5;301|5.7;OS|7.5;101|6.1;102|8.1;SE|9.5;401|9.2
Arjun Agarwal,200857,Maths,2022,201;SE;AI;401;NLP,402|5.6;DBMS|7.3;101|6.5;SE|7.5;102|8.7
Neha Kapoor,200858,CE,2022,501;NLP;OOPS,501|9.4;CN|7.6;CN|5.9;502|5.7;DBMS|9.5;201|6.1;302|8.7;OOPS|6.3;501|6.0;DSA|5.3
Ishaan Singh,200859,CSE,2023,DSA;301;501;301;201;DSA,301|6.0;AI|6.5;AI|6.2;AI|6.5;501|8.9;102|7.6
Rohan Sharma,200860,CSE,2021,AI;401;OS;AI;NLP;DBMS,501|9.4;502|8.5;402|9.7;202|5.6;402|6.8;302|7.4;AI|9.8;202|8.6
Neha Desai,200861,Maths,2019,202;AI;CNTR,OOPS|6.5;301|6.8;AI|9.2;OS|7.8;SE|8.6;OOPS|7.2
Kavya Kapoor,ME2023-862,Physics,2019,DSA;DSA;CN;AI;501;DBMS,101|8.2;101|5.3;SE|9.1;DBMS|8.5;301|8.4;SE|7.2;ML|8.9;DSA|7.4;102|9.9;202|7.1
Isha Kumar,Physics2019-863,CE,2023,CNTR;202;CN;201;402;SE,502|5.4;501|6.8;CN|9.6;CN|9.2;CN|7.8;402|8.3
Ishaan Verma,200864,ECE,2019,NLP;201;OOPS;401,202|7.9;102|7.1;402|6.2;301|7.7;CN|7.0;401|8.6
Neha Reddy,Maths2023-865,EE,2021,ML;DSA;CN,NLP|9.5;OOPS|5.8;401|8.0;OS|8.8;102|5.4;OS|7.3;AI|9.0;DBMS|9.2;501|6.0;502|7.5
Vivaan Mehta,200866,ME,2019,CNTR;ML;DSA;DBMS,OS|7.2;CNTR|5.8;NLP|7.3;OS|5.2;201|8.8;CNTR|9.7;SE|5.6;101|5.8;NLP|7.9
Yash Bose,CSE2023-867,ECE,2020,AI;302;OOPS;OOPS,AI|9.1;OOPS|6.7;CN|5.3;502|6.4;202|6.2
Yash Kumar,200868,Maths,2023,SE;OOPS;302;CNTR;ML,201|9.5;201|6.0;102|7.3;401|7.3;DBMS|8.4;ML|6.6;OS|9.7;NLP|5.8
Priya Mehta,CSE2023-869,EE,2023,402;301;402;AI;502,OS|5.4;201|7.1;102|6.8;SE|8.3;402|8.7;402|5.1
Krishna Kumar,200870,EE,2020,301;102;SE,402|6.1;202|7.4;102|6.0;402|6.6;102|5.9;NLP|9.1;302|8.4;402|8.2;DSA|6.3
Aditi Nair,200871,ECE,2023,AI;401;OS;NLP;202;102,102|9.4;302|5.5;ML|5.8;502|8.4;101|7.8;CNTR|6.8
Kavya Singh,200872,Maths,2021,101;302;AI;402;401;301,301|8.6;202|5.7;402|9.1;102|5.9;AI|8.3
Krishna Kumar,200873,Maths,2022,502;501;DBMS;AI,302|8.7;501|8.7;501|5.4;402|7.7;CNTR|7.8
Ananya Reddy,200874,ECE,2019,AI;501;DSA,DBMS|7.4;501|7.6;AI|8.9;401|6.8;AI|7.6;CNTR|5.3
Rohan Kapoor,200875,ME,2023,302;CNTR;101;OS,201|8.1;AI|6.9;101|9.2;401|9.2;401|7.2;OS|7.2;AI|7.9;501|8.0;502|9.5;CN|7.5
Neha Bose,200876,EE,2020,102;CN;402;401;301;402,OOPS|5.9;OS|5.3;DSA|6.7;502|8.9;SE|6.9;SE|6.3;102|7.0;NLP|9.7;502|9.2
Yash Gupta,200877,Physics,2020,301;502;202;DSA;SE,NLP|7.4;502|9.0;ML|9.9;AI|5.6;SE|9.1;DBMS|7.2
Priya Rao,200878,ECE,2023,OS;302;ML;DBMS,402|5.2;OS|8.8;OS|5.7;DBMS|7.0;CNTR|5.7;OS|10.0
Yash Singh,Maths2020-879,ECE,2021,101;CNTR;401;SE;402,ML|9.3;DBMS|6.2;CN|5.9;CN|7.6;OOPS|9.4
Krishna Sharma,ECE2021-880,EE,2022,ML;202;402;502,SE|9.3;201|6.8;101|6.2;202|7.2;202|6.6
Ritika Iyer,200881,BT,2019,201;502;ML,401|7.4;NLP|8.6;202|8.4;NLP|8.0;301|9.2;CNTR|9.3;401|7.2;CN|8.6;402|5.9
Kavya Patel,CE2021-882,Physics,2019,OOPS;402;CNTR;102;CN,CN|8.2;ML|7.4;202|8.3;SE|5.9;OS|8.7
Krishna Nair,200883,ME,2019,AI;CN;CN;ML;NLP;CN,OS|9.7;OOPS|8.9;CNTR|10.0;ML|9.4;OOPS|9.4;202|8.4;301|8.0;402|5.7
Isha Kumar,Maths2021-884,Physics,2022,OOPS;102;OS;OOPS,OS|8.1;102|9.1;DSA|8.1;DBMS|6.6;502|5.1;DBMS|9.4;101|8.8;SE|7.3;AI|6.6;501|9.8
Priya Singh,200885,CE,2021,502;202;102;SE;102;SE,402|6.5;DBMS|7.1;CN|9.8;301|9.8;101|7.5;402|6.3;OOPS|5.0;202|7.2;AI|6.1
Sakshi Jain,200886,Maths,2019,502;401;CNTR,401|5.2;501|9.8;501|8.6;202|8.1;OS|5.3;201|9.2
Aarav Saxena,200887,Maths,2020,501;OS;202,201|6.3;202|6.6;102|9.4;OS|6.3;ML|8.6;102|7.1;CN|9.6
Diya Iyer,ECE2023-888,Maths,2019,302;201;NLP;SE;DSA;CNTR,101|8.1;401|9.1;102|6.3;402|7.9;402|5.7;CNTR|8.3;SE|7.1;AI|5.9
Krishna Mehta,200889,EE,2021,SE;402;DSA;ML,OS|8.6;CNTR|6.8;401|9.1;DSA|5.0;DBMS|9.1;202|9.6;CN|8.9;ML|7.5;302|5.4
Krishna Saxena,CE2019-890,EE,2020,OOPS;CN;302,NLP|7.2;CN|7.9;OOPS|5.5;102|7.3;502|8.6;SE|6.7;201|8.3;101|7.3;401|7.4;501|8.3
Aditya Mehta,200891,ME,2020,202;SE;SE;SE,402|6.7;AI|6.3;502|5.2;CNTR|8.5;201|6.4;NLP|7.5;CN|8.7;OS|8.7;302|6.7
Ishaan Malhotra,200892,ECE,2021,101;502;402;101,OOPS|9.7;502|7.7;501|8.5;OOPS|6.1;ML|6.7
Rohan Singh,200893,Maths,2022,OS;CN;102;NLP;DBMS;102,OS|9.2;102|7.4;NLP|7.9;DSA|6.6;NLP|6.2;CNTR|7.3;AI|6.5;OOPS|5.1;OOPS|7.4
Ishaan Nair,200894,CE,2019,DBMS;NLP;DSA,501|7.2;202|7.4;101|6.9;502|6.1;DSA|8.1;OOPS|5.1;CN|5.8
Arjun Verma,BT2019-895,CE,2022,501;302;201;201;101,NLP|5.1;402|6.7;DBMS|7.5;202|6.4;OOPS|9.5
Ritika Gupta,200896,Maths,2019,OS;OS;CN;NLP;OOPS;101,DSA|5.6;501|9.2;CN|8.6;NLP|5.4;202|5.1;301|5.0;OOPS|6.4;502|9.4;301|6.7;CN|9.6
Sakshi Agarwal,200897,BT,2021,202;OOPS;OS;SE,CN|9.2;DBMS|9.5;202|6.9;AI|5.7;102|9.6;OS|8.2;DBMS|8.8;AI|9.0;401|6.9
Aditi Bose,200898,CSE,2022,201;OS;302;DSA,OOPS|8.5;AI|9.9;201|6.3;CNTR|6.5;501|9.6;501|7.2
Neha Desai,200899,Physics,2023,SE;501;501;202,ML|9.3;401|5.5;402|7.4;302|9.5;SE|5.1
Vivaan Mehta,Physics2020-900,Physics,2020,NLP;CNTR;301;DBMS,OS|7.1;ML|8.9;102|7.2;202|5.8;DBMS|8.5
Vivaan Khan,200901,CSE,2022,NLP;302;ML;DSA,AI|7.1;DBMS|5.7;401|9.8;OS|6.5;402|6.8
Yash Desai,CE2019-902,Maths,2019,401;501;202;401;501,DBMS|6.7;SE|7.2;401|8.3;402|6.6;NLP|9.0
Sakshi Nair,200903,Maths,2021,AI;502;501;401;302,402|8.4;402|5.6;ML|7.6;501|9.4;SE|5.1;OS|7.0;401|9.0;402|6.0
Priya Jain,200904,BT,2021,CNTR;ML;402;AI,CNTR|7.0;CNTR|5.3;502|5.9;201|6.5;102|8.4;102|9.9
Vivaan Nair,200905,ECE,2023,AI;302;DBMS;CNTR;302;NLP,302|7.8;201|8.8;NLP|6.2;202|5.7;402|6.1;NLP|9.6
Diya Singh,ME2022-906,Maths,2019,AI;401;DSA;301;202,402|7.4;OOPS|7.5;DSA|5.9;OOPS|5.3;CNTR|8.8;502|8.2;OS|5.7
Diya Mehta,200907,Maths,2019,101;501;401;102;201,501|7.2;301|7.9;SE|8.1;AI|6.9;502|6.4;DSA|7.0;AI|6.4;OOPS|6.9
Aditi Mehta,200908,EE,2021,ML;OS;SE,101|5.9;OOPS|7.9;501|9.9;302|5.1;101|9.1
Tanvi Bose,EE2019-909,BT,2020,OS;OOPS;CN;102,502|9.1;502|7.5;401|6.9;NLP|8.4;401|8.9;502|5.1;202|8.5;OOPS|9.4;101|7.7
Ritika Iyer,200910,Physics,2019,102;402;SE;CNTR,CN|8.7;CN|7.5;302|8.9;402|9.8;201|9.6;DSA|6.0;402|7.6;102|6.6
Aditya Gupta,200911,EE,2023,102;AI;DBMS,OOPS|9.2;AI|5.9;NLP|8.1;DBMS|5.3;402|5.6;DSA|6.4
Neha Kumar,200912,CE,2020,201;AI;402;201;OOPS;402,AI|7.1;201|7.2;302|5.7;ML|5.8;CNTR|6.5
Ananya Bose,200913,CSE,2023,AI;501;OOPS,DSA|6.1;202|6.2;302|7.2;102|8.8;201|5.7;OS|8.7;202|8.2;ML|6.6;OOPS|7.3;101|7.7
Sai Gupta,CE2019-914,Physics,2020,OS;301;DSA;CNTR;402,DSA|7.9;DSA|9.6;CNTR|5.9;101|8.8;201|9.0;302|7.5;DBMS|7.8;DBMS|8.7;201|5.6;102|8.8
Aditi Bose,EE2021-915,EE,2022,102;302;CN;CN,SE|8.2;ML|7.3;301|6.7;502|7.1;ML|6.5
Tanvi Saxena,200916,ECE,2021,101;401;AI;501;202,SE|7.1;OOPS|5.6;101|5.4;201|9.5;CN|7.4;101|5.9;DSA|6.3;402|6.5
Diya Reddy,200917,CE,2020,CN;102;101;302;DBMS,302|9.4;NLP|9.2;DSA|8.9;NLP|9.3;CN|8.2;CN|9.4;SE|6.2
Ananya Gupta,200918,BT,2021,101;102;ML;202;NLP;502,OOPS|7.4;DSA|9.3;CNTR|5.9;102|9.0;DBMS|8.2;502|8.9;201|6.4;102|6.1
Aditya Iyer,200919,ME,2019,501;502;DSA;501,401|9.8;302|7.4;202|6.4;101|8.6;DSA|6.2;ML|6.6;DBMS|5.0;OOPS|7.2;501|8.7;NLP|8.5
Diya Bose,200920,CSE,2021,401;OS;NLP;DBMS;OOPS,NLP|5.7;302|5.3;102|5.4;OOPS|7.4;DSA|6.6;OS|5.5;ML|5.1;202|7.7
Neha Reddy,200921,ME,2021,301;502;SE;302;102;402,301|8.9;CNTR|6.4;OS|8.8;OOPS|7.8;CN|7.1;401|6.2;501|8.3;OS|9.4
Sakshi Verma,CSE2022-922,ME,2022,OS;SE;502,401|6.1;402|6.1;401|9.5;DSA|5.7;NLP|5.7;ML|5.8;202|6.2;AI|8.1;OS|9.1
Vivaan Reddy,200923,ECE,2021,402;301;501;502,OS|5.8;201|9.8;ML|8.4;402|9.3;ML|6.8;DSA|7.9;101|5.2;502|5.7;OS|8.4
Sakshi Sharma,200924,ECE,2023,401;101;DSA;501;502,202|7.6;301|6.6;401|7.9;101|7.1;OOPS|6.8;202|5.2;302|5.5
Neha Desai,ECE2023-925,ECE,2022,AI;SE;DBMS;401;302,CNTR|5.1;AI|8.7;ML|6.2;402|7.1;OOPS|9.7;OS|5.3;NLP|8.3;SE|9.2;CNTR|7.0
Priya Reddy,200926,ECE,2020,DSA;401;402;202;302,ML|8.5;502|8.1;CN|9.5;SE|6.2;SE|5.8;302|5.2;501|9.7
Kavya Agarwal,200927,Physics,2021,201;AI;DSA;102;302;OOPS,NLP|7.8;502|8.7;SE|6.2;402|5.2;401|9.9;502|5.7
Sakshi Sharma,CE2019-928,CE,2023,NLP;201;ML;AI,ML|9.8;102|8.1;CNTR|7.3;501|7.1;SE|8.3
Aditi Singh,200929,BT,2021,ML;NLP;DSA,501|9.2;OOPS|9.4;202|5.9;502|8.1;102|5.2;AI|6.6;OOPS|9.6;OOPS|8.9;202|6.2
Neha Iyer,ECE2023-930,ECE,2022,402;ML;102;DBMS,102|9.8;DBMS|8.9;101|6.2;CN|8.3;501|6.2;ML|7.9;401|7.0;402|5.6
Ananya Patel,200931,Physics,2020,102;102;101;402,NLP|7.6;OOPS|8.5;OS|7.2;CNTR|6.1;CNTR|6.8;OOPS|5.5;CN|6.9
Sakshi Chowdhury,Physics2020-932,Maths,2023,CNTR;AI;402;SE,OS|6.6;OOPS|8.2;OS|9.0;201|5.9;SE|9.5;401|8.5;501|6.1;101|9.0;OS|8.6;202|6.4
Krishna Kapoor,200933,Maths,2021,301;102;OOPS;502;402;OOPS,DBMS|6.8;CNTR|5.3;OS|9.3;DSA|7.1;302|5.0
Neha Sharma,200934,EE,2019,401;302;201;AI;101;302,OS|7.8;101|5.9;NLP|5.0;DSA|8.5;SE|6.1;SE|8.8
Aditya Rao,200935,CSE,2023,SE;AI;DSA;CN;DSA;102,SE|8.2;NLP|7.5;OOPS|5.5;201|9.3;SE|7.8;OS|5.1
